Name,SPDXID,Version,DownloadLocation,License
"@opentelemetry/exporter-metrics-otlp-grpc","SPDXRef-Package-opentelemetry.exporter-metrics-otlp-grpc-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/exporter-metrics-otlp-grpc/-/exporter-metrics-otlp-grpc-0.203.0.tgz","Apache-2.0"
"@opentelemetry/exporter-metrics-otlp-http","SPDXRef-Package-opentelemetry.exporter-metrics-otlp-http-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/exporter-metrics-otlp-http/-/exporter-metrics-otlp-http-0.203.0.tgz","Apache-2.0"
"@opentelemetry/exporter-metrics-otlp-proto","SPDXRef-Package-opentelemetry.exporter-metrics-otlp-proto-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/exporter-metrics-otlp-proto/-/exporter-metrics-otlp-proto-0.203.0.tgz","Apache-2.0"
"@opentelemetry/exporter-prometheus","SPDXRef-Package-opentelemetry.exporter-prometheus-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/exporter-prometheus/-/exporter-prometheus-0.203.0.tgz","Apache-2.0"
"@opentelemetry/exporter-trace-otlp-grpc","SPDXRef-Package-opentelemetry.exporter-trace-otlp-grpc-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/exporter-trace-otlp-grpc/-/exporter-trace-otlp-grpc-0.203.0.tgz","Apache-2.0"
"@opentelemetry/exporter-trace-otlp-http","SPDXRef-Package-opentelemetry.exporter-trace-otlp-http-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/exporter-trace-otlp-http/-/exporter-trace-otlp-http-0.203.0.tgz","Apache-2.0"
"@opentelemetry/exporter-trace-otlp-proto","SPDXRef-Package-opentelemetry.exporter-trace-otlp-proto-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/exporter-trace-otlp-proto/-/exporter-trace-otlp-proto-0.203.0.tgz","Apache-2.0"
"@opentelemetry/exporter-zipkin","SPDXRef-Package-opentelemetry.exporter-zipkin-2.0.1","2.0.1","https://registry.npmjs.org/@opentelemetry/exporter-zipkin/-/exporter-zipkin-2.0.1.tgz","Apache-2.0"
"@opentelemetry/instrumentation","SPDXRef-Package-opentelemetry.instrumentation-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/instrumentation/-/instrumentation-0.203.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-amqplib","SPDXRef-Package-opentelemetry.instrumentation-amqplib-0.50.0","0.50.0","https://registry.npmjs.org/@opentelemetry/instrumentation-amqplib/-/instrumentation-amqplib-0.50.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-aws-lambda","SPDXRef-Package-opentelemetry.instrumentation-aws-lambda-0.54.1","0.54.1","https://registry.npmjs.org/@opentelemetry/instrumentation-aws-lambda/-/instrumentation-aws-lambda-0.54.1.tgz","Apache-2.0"
"@opentelemetry/instrumentation-aws-sdk","SPDXRef-Package-opentelemetry.instrumentation-aws-sdk-0.57.0","0.57.0","https://registry.npmjs.org/@opentelemetry/instrumentation-aws-sdk/-/instrumentation-aws-sdk-0.57.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-bunyan","SPDXRef-Package-opentelemetry.instrumentation-bunyan-0.49.0","0.49.0","https://registry.npmjs.org/@opentelemetry/instrumentation-bunyan/-/instrumentation-bunyan-0.49.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-cassandra-driver","SPDXRef-Package-opentelemetry.instrumentation-cassandra-driver-0.49.0","0.49.0","https://registry.npmjs.org/@opentelemetry/instrumentation-cassandra-driver/-/instrumentation-cassandra-driver-0.49.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-connect","SPDXRef-Package-opentelemetry.instrumentation-connect-0.47.0","0.47.0","https://registry.npmjs.org/@opentelemetry/instrumentation-connect/-/instrumentation-connect-0.47.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-cucumber","SPDXRef-Package-opentelemetry.instrumentation-cucumber-0.18.1","0.18.1","https://registry.npmjs.org/@opentelemetry/instrumentation-cucumber/-/instrumentation-cucumber-0.18.1.tgz","Apache-2.0"
